Nome,Categoria,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg)
Olio di canapa,Grassi e oli/Oli,per 100 ml,3330,810,90.0,8.9,11.4,65.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,0,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olio di cartamo,Grassi e oli/Oli,per 100 ml,3330,810,90.0,9.2,12.4,64.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olio di colza,Grassi e oli/Oli,per 100 ml,3330,810,90.0,6.2,54.2,25.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,19,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Olio di colza HOLL (high oleic, low linolenic)",Grassi e oli/Oli,per 100 ml,3330,810,90.0,6.3,68.4,10.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olio di germi di grano,Grassi e oli/Oli,per 100 ml,3330,810,90.0,15.7,12.6,55.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Olio di girasole HO, raffinato",Grassi e oli/Oli,per 100 ml,3330,810,90.0,8.9,75.3,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olio di nocciole,Grassi e oli/Oli,per 100 ml,3330,810,90.0,7.5,67.9,11.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olio di noce,Grassi e oli/Oli,per 100 ml,3330,810,90.0,9.0,15.1,62.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olio di semi di girasole,Grassi e oli/Oli,per 100 ml,3330,810,90.0,10.0,24.8,50.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.0,0.0,0.1,0.0,0.0,0.0
"Olio di semi di lino, spremuto a freddo",Grassi e oli/Oli,per 100 ml,3330,810,90.0,8.6,17.1,60.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,19,0,226,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.0,0.0,0.1,0.0
Olio di semi di mais,Grassi e oli/Oli,per 100 ml,3330,810,90.0,11.0,24.8,50.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olio di semi di zucca,Grassi e oli/Oli,per 100 ml,3330,810,90.0,14.8,25.6,44.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,350,0,4198,4198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olio di sesamo,Grassi e oli/Oli,per 100 ml,3330,810,90.0,13.4,36.2,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olio di soia,Grassi e oli/Oli,per 100 ml,3330,810,90.0,13.2,19.9,54.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olio di vinaccioli,Grassi e oli/Oli,per 100 ml,3330,810,90.0,10.1,16.7,58.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Oliva, verde, in salamoia, sgocciolata","Noci, semi e frutti oleosi",per 100 g di parte edibile,632,154,15.7,2.3,11.1,1.5,0,0.0,0.0,0.0,3.6,1.3,3.2,0.0,75.8,4,2,0,27,27,0.02,0.01,0.02,0.0,0.1,5.0,0.04,0.5,0.3,31.0,1260.0,1760.0,58.0,24.0,6.7,0.2,2.0,0.1,0.0
Olive farcite e fritte all'ascolana,Snack salati/Altri snack salati,per 100 g di parte edibile,1380,329,15.1,3.2,9.1,1.8,47,32.8,2.0,30.6,3.2,13.1,1.5,0.4,35.8,79,51,23,336,336,0.14,0.09,0.12,0.39,0.87,22.5,0.57,3.2,0.7,180.0,600.0,960.0,120.0,24.0,130.0,1.1,8.1,1.5,0.0
"Olive, nere","Noci, semi e frutti oleosi",per 100 g di parte edibile,722,176,17.2,2.1,10.2,1.5,0,0.8,0.8,0.0,6.2,1.4,1.8,0.0,74.9,44,22,0,265,265,0.02,0.01,0.03,0.0,0.1,5.0,0.04,0.5,0.0,19.0,710.0,1070.0,80.0,16.0,7.9,8.5,4.5,0.1,0.0
"Omelette francese al formaggio, preparato",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,796,192,14.5,6.4,4.4,1.5,275,1.2,1.2,0.0,0.1,14.0,1.0,0.0,70.1,157,148,140,106,106,0.07,0.29,0.09,1.17,0.11,38.4,1.56,2.0,2.0,160.0,380.0,540.0,210.0,17.0,260.0,1.4,32.0,1.7,0.0
"Omelette francese al lardo, preparato",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,729,175,13.4,4.8,5.1,1.6,268,1.3,1.3,0.0,0.1,12.5,0.7,0.0,72.8,108,100,93,87,87,0.14,0.25,0.09,0.98,0.62,37.3,1.57,5.5,2.0,180.0,280.0,430.0,64.0,14.0,180.0,1.4,30.0,1.3,19.0
"Omelette francese al prosciutto, preparato",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,596,143,9.6,3.3,3.3,1.3,266,1.3,1.3,0.0,0.1,12.8,1.0,0.0,76.2,107,100,92,87,87,0.16,0.26,0.11,0.94,0.94,37.0,1.57,10.8,1.9,210.0,420.0,600.0,65.0,15.0,210.0,1.5,31.0,1.3,18.0
"Omelette francese, preparato",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,627,151,11.1,3.8,3.8,1.5,310,1.4,1.4,0.0,0.0,11.4,0.8,0.0,76.1,111,111,110,9,9,0.08,0.26,0.07,1.11,0.07,41.5,1.76,0.2,2.3,170.0,340.0,470.0,70.0,13.0,190.0,1.5,36.0,1.1,20.0
"Omelette tipo ""crêpes"" ai funghi prataiolo, preparato",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,522,125,6.2,3.1,1.6,0.6,63,10.8,1.2,9.2,1.5,5.7,0.6,0.0,76.5,59,56,53,36,36,0.08,0.22,0.07,0.21,1.85,17.1,1.29,1.8,1.4,270.0,230.0,380.0,34.0,12.0,110.0,0.9,17.0,0.6,0.0
"Omelette tipo ""crêpes"" al formaggio, preparato",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,814,194,8.9,4.4,2.4,0.9,111,18.2,1.3,16.8,0.8,10.0,0.9,0.0,62.3,81,80,78,20,20,0.06,0.17,0.05,0.54,0.13,16.3,0.72,0.2,0.8,130.0,360.0,550.0,150.0,13.0,160.0,0.7,14.0,1.0,0.0
"Omelette tipo ""crêpes"" al lardo, preparato",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,787,188,8.9,3.5,3.4,1.0,102,17.3,1.3,15.8,0.8,9.3,1.1,0.0,64.0,51,46,41,60,60,0.13,0.14,0.06,0.39,0.68,16.0,0.71,5.1,0.8,150.0,440.0,700.0,46.0,11.0,110.0,0.7,12.0,0.8,0.0
"Omelette tipo ""crêpes"" al prosciutto, preparato",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,653,155,5.1,2.1,1.6,0.7,101,17.3,1.3,15.8,0.8,9.7,1.0,0.0,67.4,51,46,41,60,60,0.16,0.15,0.08,0.36,1.0,15.8,0.72,10.6,0.7,180.0,410.0,620.0,47.0,13.0,130.0,0.7,13.0,0.8,0.0
"Omelette tipo ""crêpes"" al zucchero con cannella, preparato",Cibi/Altri cibi dolci,per 100 g di parte edibile,744,177,5.3,2.2,1.6,0.7,106,24.5,6.5,17.9,0.8,7.2,0.8,0.0,62.3,47,46,46,6,6,0.07,0.13,0.04,0.39,0.12,16.1,0.71,0.3,0.8,130.0,310.0,470.0,48.0,9.8,94.0,0.7,14.0,0.6,7.3
"Omelette tipo ""crêpes"" alla Nutella",Cibi/Altri cibi dolci,per 100 g di parte edibile,1080,259,12.3,4.9,5.0,1.5,84,29.1,14.4,14.4,1.4,7.2,0.6,0.0,50.3,38,37,37,6,6,0.08,0.15,0.05,0.35,0.19,16.1,0.7,0.3,0.6,180.0,260.0,400.0,70.0,20.0,110.0,0.8,12.0,0.7,0.0
"Omelette tipo ""crêpes"" alle verdure, preparato",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,574,137,5.1,1.8,1.9,0.7,79,16.3,2.6,13.5,1.4,5.8,0.6,0.0,71.6,133,84,34,593,593,0.07,0.11,0.1,0.29,0.28,25.5,0.59,19.8,0.6,160.0,230.0,360.0,42.0,11.0,78.0,0.6,12.0,0.5,0.0
"Omelette tipo ""crêpes"", preparato",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,692,165,5.6,2.3,1.7,0.8,112,20.4,1.4,18.8,0.9,7.6,0.8,0.0,65.7,49,49,48,7,7,0.07,0.14,0.04,0.41,0.12,16.9,0.74,0.3,0.8,130.0,330.0,500.0,50.0,10.0,99.0,0.7,14.0,0.6,7.7
"Orzo perlato, secco","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali",per 100 g di parte edibile,1470,347,1.4,0.3,0.1,0.6,0,71.0,2.2,68.4,4.6,10.4,0.0,0.0,12.2,0,0,0,0,0,0.27,0.08,0.25,0.0,3.1,20.0,0.17,0.0,0.0,270.0,5.0,110.0,18.0,65.0,210.0,3.0,1.0,2.1,2.8
"Orzotto, cotto","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali",per 100 g di parte edibile,571,135,2.2,0.3,1.3,0.3,0,24.6,1.3,21.8,1.7,3.5,0.8,0.0,68.2,1,0,0,3,3,0.05,0.02,0.05,0.0,0.8,6.7,0.06,0.3,0.0,59.0,340.0,540.0,12.0,23.0,71.0,1.0,0.7,0.7,0.0
Pancetta,Prodotti carnei e insaccati/Insaccati crudi,per 100 g di parte edibile,1930,467,43.0,14.4,18.9,6.6,80,0.4,0.0,0.0,0.0,19.5,4.6,0.0,33.0,0,0,0,0,0,0.45,0.14,0.3,0.0,0.0,3.0,0.0,0.0,1.4,190.0,1850.0,0.0,13.0,0.0,84.0,0.8,0.0,1.9,0.0
Pancetta (speck),Prodotti carnei e insaccati/Insaccati crudi,per 100 g di parte edibile,1660,400,34.3,13.1,15.5,2.3,62,0.6,0.6,0.0,0.0,22.1,3.8,0.0,39.0,4,4,4,0,0,0.56,0.14,0.3,0.5,6.9,0.0,1.1,8.3,1.7,400.0,1520.0,2370.0,0.0,22.0,210.0,0.0,0.0,2.3,9.6
Pancetta affumicata da cuocere,Prodotti carnei e insaccati/Insaccati crudi,per 100 g di parte edibile,1330,322,27.6,10.6,12.9,2.2,49,0.6,0.6,0.0,0.0,17.8,2.8,0.0,50.5,6,6,6,0,0,0.62,0.14,0.22,0.35,4.08,3.0,0.6,24.3,0.6,270.0,1130.0,1690.0,10.0,16.0,150.0,0.4,1.1,2.0,11.0
Pane (media),"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1110,264,4.6,2.3,1.0,0.7,14,44.6,1.3,42.9,3.7,9.2,1.6,0.0,38.7,34,32,31,14,14,0.17,0.1,0.12,0.04,0.74,21.8,0.39,0.1,0.1,170.0,620.0,970.0,29.0,36.0,130.0,1.5,2.7,1.2,2.9
Pane alle noci,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1390,332,17.9,3.9,3.8,8.9,23,30.8,2.0,27.9,5.8,9.2,1.2,0.0,37.2,41,39,37,21,21,0.23,0.1,0.18,0.05,0.75,43.4,0.67,0.1,0.2,240.0,490.0,750.0,31.0,67.0,210.0,2.1,3.7,1.9,3.0
Pane bianco,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1030,242,0.8,0.2,0.1,0.4,0,48.9,0.2,48.2,2.5,8.5,1.7,0.0,40.0,0,0,0,0,0,0.11,0.04,0.06,0.0,0.46,16.7,0.24,0.0,0.0,130.0,680.0,1060.0,8.3,15.0,61.0,0.6,0.9,0.5,1.9
Pane bigio,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,991,234,1.2,0.2,0.1,0.6,0,44.3,0.5,43.5,4.1,9.5,1.6,0.0,41.8,0,0,0,0,0,0.23,0.07,0.08,0.0,1.12,20.5,0.33,0.0,0.0,150.0,630.0,970.0,20.0,38.0,150.0,1.6,1.3,1.3,3.4
Pane bigio (con sale iodato),"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,991,234,1.2,0.2,0.1,0.6,0,44.3,0.5,43.5,4.1,9.5,1.6,0.0,41.8,0,0,0,0,0,0.23,0.07,0.08,0.0,1.12,20.5,0.33,0.0,0.0,150.0,620.0,970.0,20.0,38.0,150.0,1.6,40.0,1.3,3.4
Pane contadino,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1020,241,2.0,0.7,0.4,0.6,4,44.3,2.4,41.7,4.4,9.2,1.8,0.0,40.8,11,10,10,5,5,0.2,0.13,0.11,0.03,1.09,25.0,0.4,0.2,0.0,200.0,710.0,1090.0,46.0,38.0,170.0,1.5,1.3,1.4,3.4
"Pane croccante (Knäckebrot), integrale","Pane, fiocchi e cereali per la prima colazione/Pane croccante, fette biscottate, cracker e gallette",per 100 g di parte edibile,1400,332,1.7,0.3,0.2,1.1,0,61.1,3.3,57.6,12.4,12.0,1.5,0.0,13.7,0,0,0,2,2,0.31,0.18,0.36,0.0,1.19,29.6,0.85,0.0,0.0,380.0,610.0,950.0,26.0,100.0,340.0,4.0,3.7,3.4,4.0
"Pane croccante (Knäckebrot), integrale, con semi di lino","Pane, fiocchi e cereali per la prima colazione/Pane croccante, fette biscottate, cracker e gallette",per 100 g di parte edibile,1480,352,5.7,0.7,1.0,3.7,0,55.2,3.1,51.8,13.8,12.9,1.5,0.0,13.4,0,0,0,2,2,0.33,0.16,0.34,0.0,1.08,33.7,0.84,0.0,0.0,410.0,610.0,950.0,47.0,130.0,360.0,4.3,3.6,3.5,0.0
"Pane croccante (Knäckebrot), integrale, con semi di sesamo","Pane, fiocchi e cereali per la prima colazione/Pane croccante, fette biscottate, cracker e gallette",per 100 g di parte edibile,1520,360,6.9,1.0,2.1,3.1,0,55.3,3.1,51.8,12.4,13.1,1.5,0.0,13.4,0,0,0,2,2,0.35,0.19,0.36,0.0,1.53,43.7,0.8,0.0,0.0,390.0,610.0,950.0,120.0,130.0,370.0,4.4,3.9,3.6,5.6
Pane di segale (con lievito),"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,910,215,0.9,0.1,0.1,0.4,0,41.5,3.8,37.6,7.7,6.5,1.3,0.0,43.9,0,0,0,1,1,0.16,0.11,0.17,0.0,0.98,18.3,0.43,0.0,0.0,230.0,530.0,820.0,20.0,45.0,180.0,1.8,2.7,1.9,1.8
Pane di segale vallesano,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,960,227,1.0,0.1,0.1,0.5,0,42.6,3.4,38.9,8.8,7.6,1.4,0.0,40.6,0,0,0,0,0,0.19,0.15,0.21,0.0,1.28,32.7,0.56,0.0,0.0,250.0,570.0,900.0,20.0,53.0,220.0,2.1,3.0,2.2,2.3
Pane di tritello di segale,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,994,235,1.0,0.2,0.1,0.5,0,44.1,3.8,40.1,9.4,7.7,1.4,0.0,38.3,0,0,0,0,0,0.2,0.14,0.21,0.0,1.23,23.1,0.55,0.0,0.0,260.0,570.0,900.0,21.0,56.0,230.0,2.2,3.3,2.4,2.4
Pane integrale di grano,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,899,213,1.3,0.2,0.1,0.9,0,38.3,0.7,37.6,6.9,8.6,1.4,0.0,45.5,0,0,0,3,3,0.23,0.11,0.26,0.0,0.48,21.7,0.58,0.0,0.0,250.0,580.0,880.0,20.0,82.0,220.0,3.1,1.8,2.2,3.1
Pane parigino,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1080,255,0.9,0.2,0.1,0.5,0,51.2,0.5,50.1,2.9,9.0,1.6,0.0,36.8,0,0,0,0,0,0.12,0.03,0.09,0.01,0.46,8.8,0.26,0.0,0.0,140.0,660.0,1020.0,10.0,22.0,81.0,0.9,1.0,0.7,2.7
Pane per toast al burro,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1330,316,10.4,6.0,2.4,0.9,38,45.7,2.7,42.6,2.2,8.9,1.4,0.0,33.5,90,87,83,37,37,0.11,0.12,0.06,0.1,0.48,22.0,0.36,0.2,0.2,180.0,540.0,860.0,46.0,14.0,88.0,0.5,5.1,0.6,2.6
Pane per toast all'olio vegetale,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1130,267,3.3,0.3,1.6,1.1,0,49.2,4.4,44.4,2.9,8.7,1.3,0.0,36.7,0,0,0,0,0,0.16,0.06,0.16,0.0,0.62,25.0,0.38,0.0,0.0,140.0,520.0,810.0,13.0,30.0,110.0,1.4,0.9,1.0,2.8
Pane per toast integrale,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1140,271,4.9,0.5,1.9,2.3,0,43.7,4.2,39.5,7.4,9.3,1.3,0.0,35.3,1,0,0,3,3,0.25,0.14,0.29,0.0,0.63,31.6,0.65,0.0,0.0,270.0,510.0,770.0,21.0,87.0,240.0,3.4,1.8,2.3,3.3
"Pane per toast, scuro o multicereali","Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1150,272,4.7,0.5,1.9,2.0,0,45.6,4.0,41.4,5.2,9.1,1.3,0.0,36.1,0,0,0,2,2,0.19,0.1,0.23,0.0,0.72,26.5,0.49,0.0,0.0,200.0,500.0,770.0,17.0,59.0,180.0,2.4,1.4,1.7,3.7
Pane semi-bianco,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1020,240,1.1,0.1,0.1,0.5,0,46.4,0.4,45.6,3.7,9.4,1.7,0.0,40.2,0,0,0,0,0,0.15,0.07,0.19,0.0,0.79,21.0,0.38,0.0,0.0,150.0,680.0,1050.0,16.0,38.0,130.0,1.8,1.1,1.3,2.7
Pane semi-bianco (con sale iodato),"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1020,240,1.1,0.1,0.1,0.5,0,46.4,0.4,45.6,3.7,9.4,1.7,0.0,40.2,0,0,0,0,0,0.15,0.07,0.19,0.0,0.79,21.0,0.38,0.0,0.0,150.0,670.0,1050.0,16.0,38.0,130.0,1.8,44.0,1.3,2.7
Pane ticinese,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1360,323,5.2,0.7,1.3,2.9,0,57.1,0.6,56.0,2.9,10.3,1.7,0.0,25.4,0,0,0,0,0,0.16,0.07,0.14,0.01,0.58,28.3,0.37,0.0,0.0,170.0,670.0,1040.0,13.0,29.0,110.0,1.3,1.1,1.0,3.3
Panettone,Dolciumi/Altre pasticceri dolci,per 100 g di parte edibile,1490,354,10.7,5.6,3.2,0.7,112,56.5,22.9,33.6,2.8,6.4,0.1,0.0,26.9,113,107,102,63,63,0.13,0.11,0.12,0.0,0.63,33.0,0.0,0.0,0.4,230.0,38.0,0.0,150.0,0.0,130.0,3.0,0.0,0.6,0.0
Pangrattato,"Prodotti a base di cereali, legumi e patate/Farine e amidi",per 100 g di parte edibile,1580,373,2.1,0.5,0.3,0.7,0,73.5,4.4,69.1,4.5,12.7,1.0,0.0,6.8,0,0,0,0,0,0.2,0.05,0.11,0.0,0.8,39.0,0.6,0.0,0.0,130.0,400.0,700.0,50.0,23.0,100.0,1.2,2.8,0.9,0.0
Panino,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1080,255,0.8,0.2,0.1,0.4,0,51.8,0.7,50.2,2.5,8.7,1.7,0.0,36.8,0,0,0,0,0,0.11,0.04,0.06,0.01,0.43,15.4,0.23,0.0,0.0,140.0,690.0,1080.0,7.8,14.0,60.0,0.6,0.9,0.5,1.9
"Panino ""Bürli"" (farina semibianca)","Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,912,215,1.0,0.2,0.2,0.5,0,41.5,0.4,40.9,2.9,8.6,1.9,0.0,46.7,0,0,0,0,0,0.15,0.07,0.12,0.0,0.72,22.9,0.31,0.0,0.0,120.0,770.0,1170.0,17.0,28.0,110.0,1.3,1.1,1.0,2.7
"Panino ""michetta""","Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1040,245,0.9,0.2,0.1,0.5,0,48.5,0.4,47.5,3.0,9.2,1.6,0.0,39.2,0,0,0,0,0,0.14,0.09,0.11,0.0,0.83,37.0,0.34,0.0,0.0,150.0,650.0,1000.0,10.0,22.0,91.0,1.0,0.9,0.8,2.5
Panino al cioccolato,Dolciumi/Altre pasticceri dolci,per 100 g di parte edibile,1540,366,14.3,8.5,4.1,0.9,20,49.7,16.3,32.6,2.2,8.6,1.3,0.0,25.2,71,69,66,33,33,0.12,0.21,0.1,0.05,0.51,21.6,0.35,0.9,0.1,310.0,530.0,800.0,100.0,34.0,160.0,1.3,1.1,1.1,0.0
Panino al latte,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1300,309,8.7,4.9,2.0,0.8,23,47.3,3.4,43.2,2.2,9.4,1.6,0.0,33.1,74,71,68,31,31,0.13,0.15,0.13,0.07,0.55,26.5,0.41,0.3,0.1,200.0,650.0,1020.0,56.0,27.0,130.0,1.1,0.0,0.9,2.0
Panino di Sils (con sale iodato),"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,1190,282,4.9,0.9,1.9,1.8,1,48.9,2.2,46.2,2.3,9.3,1.5,0.0,35.3,0,0,0,1,1,0.14,0.12,0.06,0.09,0.46,20.3,0.4,0.1,0.0,190.0,610.0,970.0,57.0,15.0,89.0,0.5,39.0,0.6,0.0
Panna (media),Grassi e oli/Panna;Latte e prodotti di latte/Panna e burro,per 100 g di parte edibile,1040,252,25.4,15.3,6.0,1.2,76,3.4,3.4,0.0,0.0,2.3,0.1,0.0,68.8,278,268,259,114,114,0.02,0.14,0.02,0.32,0.08,4.3,0.36,0.6,0.4,130.0,48.0,69.0,84.0,7.5,78.0,0.0,9.5,0.2,0.0
"Panna acida, semigrassa",Grassi e oli/Panna;Latte e prodotti di latte/Panna e burro,per 100 g di parte edibile,715,173,16.6,10.8,4.3,0.8,50,3.2,3.2,0.0,0.0,2.7,0.1,0.0,77.3,207,198,189,105,105,0.04,0.2,0.04,0.23,0.1,11.0,0.29,0.0,0.3,130.0,40.0,70.0,100.0,11.0,80.0,0.1,11.0,0.4,0.0
Panna acidula,Grassi e oli/Panna;Latte e prodotti di latte/Panna e burro,per 100 g di parte edibile,1380,336,35.0,21.0,8.2,1.6,105,2.8,2.8,0.0,0.0,2.4,0.1,0.0,58.0,207,201,195,73,73,0.02,0.17,0.03,0.19,0.2,23.0,0.26,0.0,0.4,100.0,30.0,50.0,73.0,7.0,64.0,0.1,9.0,0.3,0.0
Panna da caffè UHT,Grassi e oli/Panna;Latte e prodotti di latte/Panna e burro,per 100 g di parte edibile,664,161,15.0,9.0,3.5,0.7,50,3.8,3.8,0.0,0.0,2.6,0.2,0.0,77.5,151,145,138,80,80,0.02,0.14,0.02,0.5,0.1,2.7,0.4,1.0,0.3,140.0,77.0,70.0,96.0,8.2,91.0,0.0,11.0,0.3,0.0
"Panna intera, pastorizzata",Grassi e oli/Panna;Latte e prodotti di latte/Panna e burro,per 100 g di parte edibile,1370,334,34.8,20.9,8.2,1.6,101,3.1,3.1,0.0,0.0,2.0,0.1,0.0,59.4,380,368,356,143,143,0.02,0.13,0.03,0.21,0.08,7.0,0.31,0.7,0.5,120.0,35.0,69.0,71.0,6.2,71.0,0.1,7.0,0.2,0.0
"Panna intera, UHT",Grassi e oli/Panna;Latte e prodotti di latte/Panna e burro,per 100 g di parte edibile,1380,335,34.9,20.9,8.2,1.6,101,3.1,3.1,0.0,0.0,2.0,0.1,0.0,59.2,402,390,378,143,143,0.02,0.12,0.02,0.16,0.05,1.5,0.33,0.0,0.6,110.0,25.0,69.0,71.0,6.3,68.0,0.0,6.1,0.2,0.0
